index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,ir
0,0.7863247863247863,0.033846153846153845,0.033846153846153845,,0.7863247863247863,0.033846153846153845,0.033846153846153845,0.7863247863247863,0.7863247863247863,0.0
1,0.3892307692307692,0.02923076923076923,0.02923076923076923,,0.3892307692307692,0.016923076923076923,0.008461538461538461,0.004230769230769231,0.004230769230769231,0.041656494140625
2,0.23726086956521739,0.02782608695652174,0.02782608695652174,0.2,0.23726086956521739,0.026956521739130435,0.007304347826086957,0.006739130434782609,0.006739130434782609,0.08331298828125
3,0.1632411067193676,0.027470355731225297,0.027470355731225297,0.2,0.1632411067193676,0.03162055335968379,0.0056324110671936755,0.0066699604743083,0.0066699604743083,0.125
4,0.12264257481648785,0.027506654835847383,0.027506654835847383,0.2,0.12264257481648785,0.04009034443817053,0.005210938130192789,0.008840848592401387,0.008840848592401387,0.1666259765625
5,0.09742578849721707,0.027782931354359927,0.027782931354359927,0.14285714285714285,0.09742578849721707,0.023376623376623377,0.002922077922077922,0.005426716141001855,0.005426716141001855,0.2083740234375
6,0.08199964196204798,0.02819548872180451,0.02819548872180451,0.16666666666666666,0.08199964196204798,0.04661654135338346,0.004923021840315073,0.01132295023272467,0.01132295023272467,0.25
7,0.07116959064327485,0.028596491228070176,0.028596491228070176,0.1,0.07116959064327485,0.028070175438596492,0.0024269005847953216,0.007485380116959065,0.007485380116959065,0.291748046875
8,0.06414610501297807,0.028964568283453732,0.028964568283453732,0.11515151515151516,0.06414610501297807,0.048503611971104234,0.005560246427119492,0.014885699096225412,0.014885699096225412,0.333251953125
9,0.059269162210338684,0.02923351158645276,0.02923351158645276,0.09090909090909091,0.059269162210338684,0.05392156862745098,0.0053698752228163995,0.015987076648841355,0.015987076648841355,0.375
10,0.0563399835458659,0.029473467708761827,0.029473467708761827,0.09090909090909091,0.0563399835458659,0.05588235294117647,0.004072398190045249,0.016397573015220074,0.016397573015220074,0.416748046875
11,0.05456240188383046,0.02968995290423862,0.02968995290423862,0.054945054945054944,0.05456240188383046,0.04285714285714286,0.0023940345368916797,0.01527668759811617,0.01527668759811617,0.458251953125
12,0.05436058447047458,0.02981765487259993,0.02981765487259993,0.08571428571428572,0.05436058447047458,0.08571428571428572,0.014263977780461297,0.0596159884071972,0.0596159884071972,0.5
13,0.05456240188383046,0.02968995290423862,0.02968995290423862,0.04285714285714286,0.05456240188383046,0.054945054945054944,0.0028846153846153848,0.018808869701726846,0.018808869701726846,0.54150390625
14,0.0563399835458659,0.029473467708761827,0.029473467708761827,0.05588235294117647,0.0563399835458659,0.09090909090909091,0.005203619909502262,0.029766556972439327,0.029766556972439327,0.58349609375
15,0.059269162210338684,0.02923351158645276,0.02923351158645276,0.05392156862745098,0.059269162210338684,0.09090909090909091,0.007174688057040998,0.03406862745098039,0.03406862745098039,0.625
16,0.06414610501297807,0.028964568283453732,0.028964568283453732,0.048503611971104234,0.06414610501297807,0.11515151515151516,0.013090658911092347,0.04595803233574131,0.04595803233574131,0.66650390625
17,0.07116959064327485,0.028596491228070176,0.028596491228070176,0.028070175438596492,0.07116959064327485,0.1,0.00412280701754386,0.037309941520467835,0.037309941520467835,0.70849609375
18,0.08199964196204798,0.02819548872180451,0.02819548872180451,0.04661654135338346,0.08199964196204798,0.16666666666666666,0.012871464375223773,0.05332080200501253,0.05332080200501253,0.75
19,0.09742578849721707,0.027782931354359927,0.027782931354359927,0.023376623376623377,0.09742578849721707,0.14285714285714285,0.005380333951762523,0.05519480519480519,0.05519480519480519,0.79150390625
20,0.12264257481648785,0.027506654835847383,0.027506654835847383,0.04009034443817053,0.12264257481648785,0.2,0.00966362829716867,0.07040413003145922,0.07040413003145922,0.83349609375
21,0.1632411067193676,0.027470355731225297,0.027470355731225297,0.03162055335968379,0.1632411067193676,0.2,0.008102766798418972,0.08063241106719368,0.08063241106719368,0.875
22,0.23726086956521739,0.02782608695652174,0.02782608695652174,0.026956521739130435,0.23726086956521739,0.2,0.0071304347826086955,0.08326086956521739,0.08326086956521739,0.91650390625
23,0.3892307692307692,0.02923076923076923,0.02923076923076923,0.016923076923076923,0.3892307692307692,,,,,0.95849609375
24,0.7863247863247863,0.033846153846153845,0.033846153846153845,0.033846153846153845,0.7863247863247863,,,,,1.0
